ilkid,firstname,lastname,position,firstseason,lastseason,h_feet,h_inches,weight,college,birthdate
ANDERMI02,Michael,Anderson,G,1988,1988,5,11,184,Drexel University,1966-03-23 00:00:00
ANDERNI01,Nick,Anderson,G,1989,2001,6,6,205,University of Illinois,1968-01-20 00:00:00
ANDERRI01,Richard,Anderson,F,1982,1989,6,10,240,University of California - Santa Barbara,1960-11-19 00:00:00
ANDERRO01,Ron,Anderson,F,1984,1993,6,7,215,Fresno State University,1958-10-15 00:00:00
ANDERSH01,Shandon,Anderson,G,1996,2005,6,6,208,University of Georgia,1973-12-31 00:00:00
ANDERAN01,Andy,Anderson,G,1967,1969,6,2,184,Canisius College,1945-07-06 00:00:00
ANDERCA01,Cadillac,Anderson,F,1987,1997,6,10,230,University of Houston,1964-06-22 00:00:00
ANDERWI01,Willie,Anderson,G,1988,1996,6,7,190,University of Georgia,1967-01-08 00:00:00
ANDERAL01,Alan,Anderson,G,2005,2006,6,6,220,Michigan State University,1982-10-16 00:00:00
AnderRy01,Ryan,Anderson,F,2008,0,6,10,240,University of California,1988-05-06 00:00:00
ANDERWA01,Wally,Anderzunas,C,1969,1969,6,7,220,Creighton University,1946-01-11 00:00:00
ANDRIMA01,Martynas,Andriuskevicius,F,2005,2005,7,2,240,0,1986-03-12 00:00:00
ANIELDO01,Don,Anielak,F,1954,1954,6,7,190,Southwest Missouri State University,1930-11-01 00:00:00
ANSLEMI01,Michael,Ansley,F,1989,1991,6,7,225,University of Alabama,1967-02-08 00:00:00
ANSTECH01,Chris,Anstey,C,1997,1999,7,0,249,0,1975-01-01 00:00:00
ANTHOGR01,Greg,Anthony,G,1991,2001,6,0,176,University of Nevada - Las Vegas,1967-11-15 00:00:00
ANTHOCA01,Carmelo,Anthony,F,2003,2007,6,8,220,Syracuse University,1984-05-29 00:00:00
AnthoJo01,Joel,Anthony,C,2007,2007,6,9,260,University of Nevada - Las Vegas,1982-08-09 00:00:00
ARAUJRA01,Rafael,Araujo,C,2004,2006,6,11,280,Brigham Young University,1980-08-12 00:00:00
ARCENST01,Stacey,Arceneaux,F,1961,1961,6,4,210,Iowa State University,1936-02-17 00:00:00
ARCHINA01,Nate,Archibald,G,1970,1983,6,1,150,University of Texas at El Paso,1948-09-02 00:00:00
ARCHIRO01,Robert,Archibald,F,2002,2003,6,11,250,University of Illinois,1980-03-29 00:00:00
ARDJI01,Jim,Ard,C,1970,1977,6,8,215,University of Cincinnati,1948-09-19 00:00:00
ARENAGI01,Gilbert,Arenas,G,2001,2007,6,3,191,University of Arizona,1982-01-06 00:00:00
ARIZATR01,Trevor,Ariza,F,2004,2007,6,8,200,University of California - Los Angeles,1985-06-30 00:00:00
ARIZIPA01,Paul,Arizin,F,1950,1961,6,4,190,Villanova University,1928-04-09 00:00:00
ARLAUJO01,Joe,Arlauckas,F,1987,1987,6,9,230,Niagara University,1965-07-20 00:00:00
ARMSTBJ01,B.j.,Armstrong,G,1989,1999,6,2,175,University of Iowa,1967-09-09 00:00:00
ARMSTBO01,Bob,Armstrong,C,1956,1956,6,8,220,Michigan State University,1933-06-17 00:00:00
ARMSTBR01,Brandon,Armstrong,G,2001,2003,6,5,185,Pepperdine University,1980-06-16 00:00:00
ARMSTDA01,Darrell,Armstrong,G,1994,2007,6,0,170,Fayetteville State University,1968-06-22 00:00:00
ARMSTPA01,Paul,Armstrong,G,1948,1950,5,11,170,Indiana University,1918-11-01 00:00:00
ARMSTTA01,Tate,Armstrong,G,1977,1978,6,3,175,Duke University,1955-10-05 00:00:00
ArmstHi01,Hilton,Armstrong,C,2006,2007,6,11,235,University of Connecticut,1984-11-23 00:00:00
ARNELJE01,Jesse,Arnelle,F,1955,1955,6,5,220,Pennsylvania State University,1933-12-30 00:00:00
ARNETJA01,Jay,Arnette,G,1963,1965,6,2,175,University of Texas,1938-12-19 00:00:00
ARNZEBO01,Bob,Arnzen,F,1969,1973,6,5,205,University of Notre Dame,1947-11-03 00:00:00
ARROYCA01,Carlos,Arroyo,G,2001,2007,6,2,220,Florida International University,1979-07-30 00:00:00
ARTESRO01,Ron,Artest,F,1999,2007,6,6,244,Saint John's University,1979-11-13 00:00:00
ArthuDa01,Darrell,Arthur,F,2008,0,6,9,225,University of Kansas,1988-03-25 00:00:00
ARTHUJO01,John,Arthurs,G,1969,1969,6,4,185,Tulane University,1947-08-15 00:00:00
ASKEWVI01,Vincent,Askew,G,1987,1997,6,6,210,University of Memphis,1966-02-28 00:00:00
ASKINKE01,Keith,Askins,F,1990,1998,6,7,197,University of Alabama,1967-12-15 00:00:00
ASMONDO01,Don,Asmonga,G,1953,1953,6,2,185,California University of Pennsylvania,1928-02-15 00:00:00
ATHARI01,Richard,Atha,G,1955,1957,6,2,190,Indiana State University,1931-09-21 00:00:00
ATKINCH01,Chucky,Atkins,G,1999,2007,5,11,160,University of South Florida,1974-08-14 00:00:00
ATTLEAL01,Alvin,Attles,G,1960,1970,6,0,175,North Carolina A&T State University,1936-11-07 00:00:00
AUBUCCH01,Chet,Aubuchon,G,1946,1946,5,10,137,Michigan State University,1916-05-08 00:00:00
AUGMOST01,Stacey,Augmon,G,1991,2005,6,6,205,University of Nevada - Las Vegas,1968-08-01 00:00:00
AugusDJ01,D.J.,Augustin,G,2008,0,6,0,180,University of Texas,1987-11-10 00:00:00
AugusJa01,James,Augustine,F,2006,2007,6,10,235,University of Illinois,1984-02-27 00:00:00
AUSTIIS01,Isaac,Austin,C,1991,2001,6,10,255,Arizona State University,1969-08-18 00:00:00
AUSTIJO01,John,Austin,G,1966,1967,6,0,170,Boston College,1944-08-31 00:00:00
AUSTIKE01,Ken,Austin,F,1983,1983,6,9,205,Rice University,1961-07-15 00:00:00
AVENTAN01,Anthony,Avent,F,1992,1999,6,9,235,Seton Hall University,1969-10-18 00:00:00
AVERIWI01,William,Averitt,G,1976,1977,6,1,170,Pepperdine University,1952-07-22 00:00:00
AVERYWI01,William,Avery,G,1999,2001,6,2,197,Duke University,1979-08-08 00:00:00
AWTREDE01,Dennis,Awtrey,C,1970,1981,6,10,235,Santa Clara University,1948-02-22 00:00:00
AzubuKe01,Kelenna,Azubuike,G,2006,2007,6,5,220,University of Kentucky,1983-12-16 00:00:00
BABICMI01,Milos,Babic,C,1990,1991,7,0,240,Tennessee Tech University,1968-11-23 00:00:00
BACHJO01,Johnny,Bach,F,1948,1948,6,2,180,Fordham University,1924-07-10 00:00:00
BACONHE01,Henry,Bacon,G,1972,1972,6,3,205,University of Louisville,1948-07-05 00:00:00
BAECHJI01,Jim,Baechtold,F,1952,1956,6,4,205,Eastern Kentucky University,1927-12-09 00:00:00
BAGARDA01,Dalibor,Bagaric,C,2000,2002,7,1,255,0,1980-02-07 00:00:00
BAGLEJO01,John,Bagley,G,1982,1993,6,0,185,Boston College,1960-04-23 00:00:00
BAILECA01,Carl,Bailey,C,1981,1981,7,0,210,Tuskegee University,1958-04-23 00:00:00
BAILEGU01,Gus,Bailey,G,1974,1979,6,5,185,University of Texas at El Paso,1951-02-18 00:00:00
BAILEJA01,James,Bailey,F,1979,1987,6,9,220,Rutgers University,1957-05-21 00:00:00
BAILETH01,Thurl,Bailey,F,1983,1998,6,11,215,North Carolina State University,1961-04-07 00:00:00
BAILETO01,Toby,Bailey,G,1998,1999,6,6,213,University of California - Los Angeles,1975-11-19 00:00:00
BAKERJI01,Jimmie,Baker,F,1975,1975,6,9,220,University of Hawaii,1953-12-25 00:00:00
BAKERMA01,Mark,Baker,G,1998,1998,6,1,175,Ohio State University,1969-11-11 00:00:00
BAKERNO01,Norm,Baker,G,1946,1946,6,0,180,0,1923-02-17 00:00:00
BAKERVI01,Vin,Baker,F,1993,2005,6,10.5,232,University of Hartford,1971-11-23 00:00:00
BAKERMA02,Maurice,Baker,G,2004,2004,6,1,175,Oklahoma State University,1979-07-28 00:00:00
BalkmRe01,Renaldo,Balkman,F,2006,2007,6,8,208,University of South Carolina,1984-07-14 00:00:00
BALLCE01,Cedric,Ball,F,1990,1990,6,8,210,University of North Carolina at Charlotte,1968-04-16 00:00:00
BALLAGR01,Greg,Ballard,F,1977,1988,6,7,215,University of Oregon,1955-01-29 00:00:00
BALTIHE01,Herschel,Baltimore,F,1946,1946,6,4,195,Pennsylvania State University,1921-06-21 00:00:00
BANKSGE01,Gene,Banks,F,1981,1986,6,7,215,Duke University,1959-05-15 00:00:00
BANKSWA01,Walker,Banks,C,1970,1970,6,10,205,Western Kentucky University,1947-08-26 00:00:00
BANKSMA01,Marcus,Banks,G,2003,2007,6,2,220,University of Nevada - Las Vegas,1981-11-19 00:00:00
BANNIKE01,Ken,Bannister,F,1984,1990,6,9,235,Saint Augustine's College,1960-04-01 00:00:00
BANTOMI01,Mike,Bantom,F,1973,1981,6,9,200,Saint Joseph's University,1951-12-03 00:00:00
BARBEJO01,John,Barber,F,1956,1956,6,6,210,California State University,1927-06-27 00:00:00
BARBOLE01,Leandrinho,Barbosa,G,2003,2007,6,3,176,0,1982-11-28 00:00:00
BARDOST01,Stephen,Bardo,G,1991,1995,6,5,190,University of Illinois,1968-04-05 00:00:00
BareaJo01,Jose,Barea,G,2006,2007,6,0,175,Northeastern University,1984-06-26 00:00:00
BargnAn01,Andrea,Bargnani,F,2006,2007,6,10,250,0,1985-10-26 00:00:00
BARKECL01,Cliff,Barker,G,1949,1951,6,2,185,University of Kentucky,1921-01-15 00:00:00
BARKETO01,Tom,Barker,C,1976,1978,6,11,225,University of Hawaii,1955-03-11 00:00:00
BARKLCH01,Charles,Barkley,F,1984,1999,6,5,250,Auburn University,1963-02-20 00:00:00
BARKLER01,Erick,Barkley,G,2000,2001,6,1,177,Saint John's University,1978-02-21 00:00:00
BARKSDO01,Don,Barksdale,F,1951,1954,6,6,200,University of California - Los Angeles,1923-03-31 00:00:00
BARNEHA01,Harry,Barnes,F,1968,1968,6,3,205,Northeastern University,1945-07-25 00:00:00
BARNEJI01,Jim,Barnes,C,1964,1970,6,8,210,Texas Western College,1941-04-13 00:00:00
BARNEMA01,Marvin,Barnes,F,1974,1979,6,8,210,Providence College,1952-07-27 00:00:00
BARNEMA02,Matt,Barnes,F,2003,2007,6,7,235,University of California - Los Angeles,1980-03-09 00:00:00
BARNENA01,Nate,Barnett,G,1975,1975,6,3,175,University of Akron,1953-01-29 00:00:00
BARNEJI02,Jim,Barnett,G,1966,1976,6,4,170,University of Oregon,1944-07-07 00:00:00
BARNEDI01,Dick,Barnett,G,1959,1973,6,4,190,Tennessee State University,1936-10-02 00:00:00
BARNHJO01,John,Barnhill,G,1962,1971,6,1,180,Tennessee State University,1938-03-20 00:00:00
BARNHNO01,Norton,Barnhill,G,1976,1976,6,4,205,Washington State University,1953-07-15 00:00:00
BARNHLE01,Leo,Barnhorst,F,1949,1953,6,4,190,University of Notre Dame,1924-05-11 00:00:00
BARRJO01,John,Barr,F,1946,1946,6,3,205,Pennsylvania State University,1918-08-18 00:00:00
BARRMI01,Mike,Barr,G,1972,1976,6,3,180,Duquesne University,1950-10-19 00:00:00
BARRTH01,Thomas,Barr,G,1970,1970,6,4,195,Duquesne University,1944-06-19 00:00:00
BARREER01,Ernie,Barrett,G,1953,1955,6,3,180,Kansas State University,1929-08-27 00:00:00
BARREMI01,Mike,Barrett,G,1969,1972,6,2,155,West Virginia Institute of Technology,1943-09-05 00:00:00
BARREAN01,Andre,Barrett,G,2004,2007,5,9,171,Seton Hall University,1982-02-21 00:00:00
BARROEA01,Earl,Barron,C,2005,2007,7,0,268,University of Memphis,1981-08-14 00:00:00
BARRODA01,Dana,Barros,G,1989,2003,5,11,163,Boston College,1967-04-13 00:00:00
BARRYBR01,Brent,Barry,G,1995,2007,6,6,185,Oregon State University,1971-12-31 00:00:00
BARRYDR01,Drew,Barry,G,1997,1999,6,5,191,Georgia Institute of Technology,1973-02-17 00:00:00
BARRYJO01,Jon,Barry,G,1992,2005,6,4,195,Georgia Institute of Technology,1969-07-25 00:00:00
BARRYRI01,Rick,Barry,F,1965,1979,6,7,205,University of Miami,1944-03-28 00:00:00
BARTEED01,Ed,Bartels,F,1949,1950,6,6,195,North Carolina State University,1925-10-08 00:00:00
BARTOVI01,Vic,Bartolome,C,1971,1971,7,0,230,Oregon State University,1948-09-29 00:00:00
BASDEED01,Eddie,Basden,G,2005,2005,6,5,215,University of North Carolina at Charlotte,1983-02-15 00:00:00
BASKEJE01,Jerry,Baskerville,F,1975,1975,6,7,190,Temple University,1951-11-10 00:00:00
BASSBR01,Brandon,Bass,F,2005,2007,6,8,240,Louisiana State University,1985-04-30 00:00:00
BASSETI01,Tim,Bassett,F,1973,1979,6,8,225,University of Georgia,1951-04-01 00:00:00
BASTOMA01,Maceo,Baston,F,2002,2007,6,9,215,University of Michigan,1975-05-29 00:00:00
BATEEME01,Mengke,Bateer,C,2001,2003,6,11,290,0,1975-11-20 00:00:00
BATESBI01,Billyray,Bates,G,1979,1982,6,4,210,Kentucky State University,1956-05-31 00:00:00
BATISES01,Esteban,Batista,G,2005,2006,6,10,270,0,1983-09-02 00:00:00
BATISMI01,Mike,Batiste,F,2002,2002,6,8,225,Arizona State University,1977-11-21 00:00:00
BATTITO01,Tony,Battie,C,1997,2006,6,11,230,Texas Tech University,1976-02-11 00:00:00
BATTISH01,Shane,Battier,F,2001,2007,6,8,220,Duke University,1978-09-09 00:00:00
BATTLJO01,John,Battle,G,1985,1994,6,2,175,Rutgers University,1962-11-09 00:00:00
BATTLKE01,Kenny,Battle,G,1989,1992,6,6,210,University of Illinois,1964-10-10 00:00:00
BATTODA01,Dave,Batton,C,1982,1983,6,10,240,University of Notre Dame,1956-03-26 00:00:00
BATTSLL01,Lloyd,Batts,G,1974,1974,6,4,185,University of Cincinnati,1951-05-09 00:00:00
BatumNi01,Nicolas,Batum,G,2008,0,6,8,200,Not Available,1988-12-14 00:00:00
BAUMJO01,Johnny,Baum,F,1969,1973,6,5,200,Temple University,1946-06-17 00:00:00
BAUMHFR01,Frankie,Baumholtz,G,1946,1946,5,10,170,Ohio University,1918-10-07 00:00:00
BAXTELO01,Lonny,Baxter,F,2002,2005,6,8,260,University of Maryland,1979-07-27 00:00:00
BayleJe01,Jerryd,Bayless,G,2008,0,6,3,200,University of Arizona,1988-08-20 00:00:00
BAYLOEL01,Elgin,Baylor,F,1958,1971,6,5,225,Seattle University,1934-09-16 00:00:00
BAYNEHO01,Howard,Bayne,F,1967,1967,6,6,235,University of Tennessee,1942-07-28 00:00:00
BAZARSE01,Sergei,Bazarevich,G,1994,1994,6,2,168,0,1965-03-16 00:00:00
BEACHED01,Ed,Beach,F,1950,1950,6,3,200,West Virginia University,1929-01-25 00:00:00
BEARDAL01,Al,Beard,C,1967,1967,6,9,200,Norfolk State University,1942-04-27 00:00:00
BEARDBU01,Butch,Beard,G,1969,1978,6,3,185,University of Louisville,1947-05-04 00:00:00
BEARDRA01,Ralph,Beard,G,1949,1950,5,10,175,University of Kentucky,1927-12-02 00:00:00
BEASLCH01,Charlie,Beasley,G,1967,1970,6,5,190,Southern Methodist University,1945-09-23 00:00:00
BEASLJO01,John,Beasley,F,1967,1973,6,9,225,Texas A&M University,1944-02-05 00:00:00
BeaslMi01,Michael,Beasley,F,2008,0,6,10,235,Kansas State University,1989-01-09 00:00:00
BEASLJE01,Jerome,Beasley,F,2003,2003,6,10,241,University of North Dakota,1980-05-17 00:00:00
BEATYZE01,Zelmo,Beaty,C,1962,1974,6,9,225,Prairie View A&M University,1939-10-25 00:00:00
BECKBY01,Byron,Beck,C,1967,1976,6,9,225,University of Denver,1945-01-25 00:00:00
BECKCO01,Corey,Beck,G,1995,1998,6,1,190,University of Arkansas,1971-05-27 00:00:00
BECKER01,Ernie,Beck,G,1953,1960,6,4,190,University of Pennsylvania ,1931-12-11 00:00:00
BECKEAR01,Art,Becker,F,1967,1972,6,6.5,205,Arizona State University,1942-01-12 00:00:00
BECKEMO01,Moe,Becker,G,1946,1946,6,1,185,Duquesne University,1917-02-24 00:00:00
BEDELBO01,Bob,Bedell,F,1967,1970,6,7,205,Stanford University,1944-06-26 00:00:00
BEDFOWI01,William,Bedford,C,1986,1992,7,0,225,University of Memphis,1963-12-14 00:00:00
BEENDHA01,Hank,Beenders,C,1946,1948,6,5.5,185,Long Island University,1916-06-02 00:00:00
BEHAGRO01,Ron,Behagen,F,1973,1979,6,9,185,University of Minnesota,1951-01-14 00:00:00
BEHNKEL01,Elmer,Behnke,C,1951,1951,6,7,210,Bradley University,1929-02-03 00:00:00
BelinMa01,Marco,Belinelli,G,2007,2007,6,5,192,0,1986-03-25 00:00:00
BELLTR01,Troy,Bell,G,2003,2003,6,1,180,Boston College,1980-11-10 00:00:00
BELLCH01,Charlie,Bell,G,2001,2007,6,3,200,Michigan State University,1979-03-12 00:00:00
BELLDE01,Dennis,Bell,F,1973,1975,6,5,185,Drake University,1951-06-02 00:00:00
BELLRA01,Raja,Bell,G,2000,2007,6,5,215,Florida International University,1976-09-19 00:00:00
BELLWI01,William,Bell,G,1959,1960,6,0,180,North Carolina State University,1932-09-13 00:00:00
BELLAWA01,Walt,Bellamy,C,1961,1974,6,10.5,225,Indiana University,1939-07-24 00:00:00
BEMORIR01,Irv,Bemoras,F,1953,1956,6,3,185,University of Illinois,1930-11-18 00:00:00
BENBOLE01,Leon,Benbow,G,1974,1975,6,4,185,Jacksonville University,1950-07-23 00:00:00
BENDEJO01,Jonathan,Bender,F,1999,2005,6,11,202,0,1981-01-30 00:00:00
BENJABE01,Benoit,Benjamin,C,1985,1999,7,0,250,Creighton University,1964-11-22 00:00:00
BENJACO01,Corey,Benjamin,G,1998,2002,6,6,200,Oregon State University,1978-02-24 00:00:00
BENNEEL01,Elmer,Bennett,G,1994,1996,6,0,170,University of Notre Dame,1970-02-13 00:00:00
BENNEMA01,Mario,Bennett,F,1995,1999,6,6,235,Arizona State University,1973-08-01 00:00:00
BENNEME01,Mel,Bennett,F,1975,1981,6,7,200,University of Pittsburgh,1955-01-04 00:00:00
BENNETO01,Tony,Bennett,G,1992,1994,6,0,175,University of Wisconsin - Green Bay,1969-06-01 00:00:00
BENNEWI01,Winston,Bennett,G,1989,1991,6,7,210,University of Kentucky,1965-02-09 00:00:00
BENNEWI02,Willis,Bennett,G,1968,1968,6,3,190,Winston-Salem State University,1943-08-04 00:00:00
BENOIDA01,David,Benoit,F,1991,2000,6,8,220,University of Alabama,1968-05-09 00:00:00
BENSOKE01,Kent,Benson,C,1977,1987,6,10,235,Indiana University,1954-12-27 00:00:00
BERCEGE01,Gene,Berce,G,1949,1949,5,11,175,Marquette University,1926-11-22 00:00:00
BERGEGA01,Gary,Bergen,C,1956,1956,6,8,210,University of Utah,1932-07-16 00:00:00
BERGHLA01,Larry,Bergh,F,1969,1969,6,7.5,210,Tuskegee University,1945-04-02 00:00:00
BERRYRI01,Ricky,Berry,F,1988,1988,6,8,205,San Jose State University,1964-10-06 00:00:00
BERRYWA01,Walter,Berry,F,1986,1988,6,8,215,Saint John's University,1964-05-14 00:00:00
BESHODE01,Del,Beshore,G,1978,1979,5,11,165,California University of Pennsylvania,1956-11-29 00:00:00
BESTTR01,Travis,Best,G,1995,2004,5,11,182,Georgia Institute of Technology,1972-07-12 00:00:00
BIALOWE01,Wes,Bialosuknia,G,1967,1967,6,2,185,University of Connecticut,1945-06-08 00:00:00
BIANCAL01,Al,Bianchi,G,1956,1965,6,3,185,Bowling Green University,1932-03-26 00:00:00
BIASAHA01,Hank,Biasatti,G,1946,1946,5,11,175,Assumption University,1922-01-14 00:00:00
BIBBYHE01,Henry,Bibby,G,1972,1980,6,1,185,University of California - Los Angeles,1949-11-24 00:00:00
BIBBYMI01,Mike,Bibby,G,1998,2007,6,1,190,University of Arizona,1978-05-13 00:00:00
BIEDEED01,Ed,Biedenbach,G,1968,1968,6,1,175,North Carolina State University,1945-08-12 00:00:00
BIEDRAN01,Andris,Biedrins,F,2004,2007,7,0,240,0,1986-04-02 00:00:00
BIELKDO01,Don,Bielke,C,1955,1955,6,7,240,Valparaiso University,1986-04-02 00:00:00
BIGELBO01,Bob,Bigelow,F,1975,1978,6,7,215,University of Pennsylvania ,1953-12-26 00:00:00
BILLILI01,Lionel,Billingy,F,1974,1974,6,9,215,Duquesne University,1952-01-01 00:00:00
BILLUCH01,Chauncey,Billups,G,1997,2007,6,3,202,Colorado University,1976-09-25 00:00:00
BINGDA01,Dave,Bing,G,1966,1977,6,3,180,Syracuse University,1943-11-24 00:00:00
BINIOJO01,Joe,Binion,F,1986,1986,6,8,235,North Carolina A&T State University,1961-03-26 00:00:00
BIRDJE01,Jerry,Bird,F,1958,1958,6,6,210,University of Kentucky,1935-02-02 00:00:00
