ilkid,year,firstname,lastname,conference,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ABDURSH01 ,2001,Shareef,A-Rahim,east,N,1,21,9,5,1,6,0,0,0,0,2,4,4,0,0,1,1
AdamsAl01 ,1975,Alvan,Adams,west,N,1,11,4,NULL,NULL,3,0,NULL,NULL,NULL,NULL,4,2,0,0,NULL,NULL
AdamsMi01 ,1991,Michael,Adams,east,N,1,14,9,NULL,NULL,1,1,NULL,NULL,NULL,NULL,8,4,0,0,NULL,NULL
AguirMa01 ,1987,Mark,Aguirre,west,N,1,12,14,NULL,NULL,1,1,NULL,NULL,NULL,NULL,10,5,3,3,NULL,NULL
AguirMa01 ,1986,Mark,Aguirre,west,N,1,17,9,NULL,NULL,2,1,NULL,NULL,NULL,NULL,6,3,3,2,NULL,NULL
AguirMa01 ,1983,Mark,Aguirre,west,N,1,13,13,NULL,NULL,1,2,NULL,NULL,NULL,NULL,8,5,4,3,NULL,NULL
AingeDa01 ,1987,Danny,Ainge,east,N,1,19,12,NULL,NULL,3,2,NULL,NULL,NULL,NULL,11,4,2,1,NULL,NULL
AllenRa02 ,2001,Ray,Allen,east,N,1,25,15,2,1,3,5,3,0,1,3,17,6,0,0,10,3
AllenRa02 ,2000,Ray,Allen,east,N,1,19,15,2,1,3,2,1,1,1,0,15,7,0,0,7,1
AllenRa02 ,1999,Ray,Allen,east,N,1,17,14,0,1,1,2,3,1,3,2,13,4,6,5,6,1
AllenRa02 ,2003,Ray,Allen,west,N,1,23,16,1,2,3,4,1,0,3,2,13,6,4,3,4,1
ALLENRA02 ,2008,Ray,Allen,East,N,1,18,8,2,1,3,1,0,0,1,0,10,4,0,0,3,0
allenra02 ,2007,Ray,Allen,East,N,1,19,28,2,0,2,1,2,0,0,0,14,10,5,3,9,5
allenra02 ,2005,Ray,Allen,west,N,1,18,8,2,0,2,1,0,0,1,2,13,4,0,0,7,0
AllenRa02 ,2006,Ray,Allen,West,N,1,21,12,1,0,1,3,1,0,1,0,10,4,0,0,7,4
ALLENRA02 ,2004,Ray,Allen,west,N,1,22,17,4,0,4,1,0,0,1,2,16,6,0,0,11,5
AnderKe02 ,1993,Kenny,Anderson,east,N,1,16,6,NULL,NULL,4,3,NULL,NULL,NULL,NULL,10,3,0,0,NULL,NULL
AnthoCa01 ,2006,Carmelo,Anthony,West,N,1,25,20,6,3,9,1,0,2,1,0,15,10,0,0,0,0
antonca01 ,2007,Carmelo,Anthony,West,N,1,21,18,5,2,7,1,0,0,2,0,17,8,3,2,0,0
ArchiNa01 ,1980,Nate,Archibald,east,N,1,25,9,NULL,NULL,5,9,NULL,NULL,NULL,NULL,7,4,3,1,NULL,NULL
ArchiNa01 ,1979,Nate,Archibald,east,N,1,21,2,NULL,NULL,3,6,NULL,NULL,NULL,NULL,8,0,3,2,NULL,NULL
ArchiNa01 ,1975,Nate,Archibald,west,N,1,30,13,NULL,NULL,15,7,NULL,NULL,NULL,NULL,13,5,3,3,NULL,NULL
ArchiNa01 ,1974,Nate,Archibald,west,N,1,36,27,NULL,NULL,2,6,NULL,NULL,NULL,NULL,15,10,8,7,NULL,NULL
ArchiNa01 ,1972,Nate,Archibald,west,N,1,27,17,NULL,NULL,1,5,NULL,NULL,NULL,NULL,12,6,5,5,NULL,NULL
ArchiNa01 ,1981,Nate,Archibald,East,N,1,23,6,1,1,2,7,1,0,2,3,5,2,2,2,0,0
arenagi01 ,2005,Gilbert,Arenas,east,N,1,10,1,0,0,0,1,1,0,1,1,4,0,2,1,2,0
ArenaGi01 ,2006,Gilbert,Arenas,East,N,1,20,8,1,0,1,4,1,0,2,0,8,3,0,0,7,2
ARENAGI01 ,2004,Gilbert,Arenas,east,N,1,14,7,1,1,2,2,0,0,0,1,11,3,0,0,3,1
AriziPa01 ,1950,Paul,Arizin,east,N,1,0,15,NULL,NULL,7,0,NULL,NULL,NULL,NULL,12,7,2,1,NULL,NULL
AriziPa01 ,1961,Paul,Arizin,east,N,1,21,4,NULL,NULL,2,0,NULL,NULL,NULL,NULL,12,2,0,0,NULL,NULL
AriziPa01 ,1960,Paul,Arizin,east,N,1,17,17,NULL,NULL,2,1,NULL,NULL,NULL,NULL,12,6,6,5,NULL,NULL
AriziPa01 ,1959,Paul,Arizin,east,N,1,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AriziPa01 ,1958,Paul,Arizin,east,N,1,30,16,NULL,NULL,8,0,NULL,NULL,NULL,NULL,15,4,9,8,NULL,NULL
AriziPa01 ,1957,Paul,Arizin,east,N,1,29,24,NULL,NULL,8,2,NULL,NULL,NULL,NULL,17,11,2,2,NULL,NULL
AriziPa01 ,1956,Paul,Arizin,east,N,1,26,13,NULL,NULL,5,0,NULL,NULL,NULL,NULL,13,6,2,1,NULL,NULL
AriziPa01 ,1955,Paul,Arizin,east,N,1,28,13,NULL,NULL,7,1,NULL,NULL,NULL,NULL,13,5,5,3,NULL,NULL
AriziPa01 ,1954,Paul,Arizin,east,N,1,23,9,NULL,NULL,2,2,NULL,NULL,NULL,NULL,9,4,2,1,NULL,NULL
AriziPa01 ,1951,Paul,Arizin,east,N,1,32,26,NULL,NULL,6,0,NULL,NULL,NULL,NULL,13,9,8,8,NULL,NULL
ArmstBJ01 ,1993,B.J.,Armstrong,east,N,1,22,11,NULL,NULL,1,4,NULL,NULL,NULL,NULL,9,5,0,0,NULL,NULL
ArtesRo01 ,2003,Ron,Artest,east,N,1,17,7,2,1,3,3,1,0,1,2,5,3,2,1,1,0
BakerVi01 ,1996,Vin,Baker,east,N,1,24,19,5,7,12,1,0,0,0,2,12,8,4,3,0,0
BakerVi01 ,1995,Vin,Baker,east,N,1,14,6,NULL,NULL,2,2,NULL,NULL,NULL,NULL,5,2,2,2,NULL,NULL
BakerVi01 ,1994,Vin,Baker,east,N,1,11,2,NULL,NULL,2,0,NULL,NULL,NULL,NULL,2,0,4,2,NULL,NULL
BakerVi01 ,1997,Vin,Baker,west,N,1,21,8,2,6,8,0,1,0,0,1,12,3,2,2,0,0
BarklCh01 ,1996,Charles,Barkley,west,N,1,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BarklCh01 ,1991,Charles,Barkley,east,N,1,28,12,NULL,NULL,9,1,NULL,NULL,NULL,NULL,14,6,0,0,NULL,NULL
BarklCh01 ,1990,Charles,Barkley,east,N,1,35,17,NULL,NULL,22,4,NULL,NULL,NULL,NULL,15,7,6,3,NULL,NULL
BarklCh01 ,1989,Charles,Barkley,east,N,1,22,17,NULL,NULL,4,0,NULL,NULL,NULL,NULL,12,7,3,2,NULL,NULL
BarklCh01 ,1988,Charles,Barkley,east,N,1,20,17,NULL,NULL,5,0,NULL,NULL,NULL,NULL,11,6,8,5,NULL,NULL
BarklCh01 ,1987,Charles,Barkley,east,N,1,15,4,NULL,NULL,3,0,NULL,NULL,NULL,NULL,4,1,2,2,NULL,NULL
BarklCh01 ,1986,Charles,Barkley,east,N,1,16,7,NULL,NULL,4,1,NULL,NULL,NULL,NULL,6,2,6,3,NULL,NULL
BarklCh01 ,1995,Charles,Barkley,west,N,1,16,8,NULL,NULL,0,1,NULL,NULL,NULL,NULL,6,4,0,0,NULL,NULL
BarklCh01 ,1994,Charles,Barkley,west,N,1,23,15,NULL,NULL,9,2,NULL,NULL,NULL,NULL,12,7,0,0,NULL,NULL
BarklCh01 ,1992,Charles,Barkley,weset,N,1,34,16,NULL,NULL,4,7,NULL,NULL,NULL,NULL,11,5,7,5,NULL,1
BarksDo01 ,1952,Don,Barksdale,east,N,1,11,1,NULL,NULL,3,2,NULL,NULL,NULL,NULL,1,0,3,1,NULL,NULL
BarneDi01 ,1967,Dick,Barnett,east,N,1,22,15,NULL,NULL,1,0,NULL,NULL,NULL,NULL,12,7,2,1,NULL,NULL
BarneMa01 ,1974,Marvin,Barnes,east,A,1,21,16,1,0,1,1,0,0,2,2,13,6,4,4,0,0
BarneMa01 ,1975,Marvin,Barnes,AllStars,A,1,13,7,NULL,NULL,0,1,NULL,NULL,NULL,3,5,3,1,1,0,0
BarnhLe01 ,1952,Leo,Barnhorst,west,N,1,13,2,NULL,NULL,3,2,NULL,NULL,NULL,NULL,2,1,1,0,NULL,NULL
BarnhLe01 ,1951,Leo,Barnhorst,west,N,1,23,14,NULL,NULL,2,2,NULL,NULL,NULL,NULL,16,7,1,0,NULL,NULL
BarroDa01 ,1994,Dana,Barros,east,N,1,11,5,NULL,NULL,1,3,NULL,NULL,NULL,NULL,5,2,0,0,NULL,NULL
BarryRi01 ,1977,Rick,Barry,west,N,1,30,15,NULL,NULL,4,5,NULL,NULL,NULL,NULL,17,7,1,1,NULL,NULL
BarryRi01 ,1976,Rick,Barry,west,N,1,29,18,NULL,NULL,4,8,NULL,NULL,NULL,NULL,16,7,4,4,NULL,NULL
BarryRi01 ,1975,Rick,Barry,west,N,1,28,17,NULL,NULL,4,2,NULL,NULL,NULL,NULL,15,6,5,5,NULL,NULL
BarryRi01 ,1974,Rick,Barry,west,N,1,38,22,NULL,NULL,5,8,NULL,NULL,NULL,NULL,20,11,0,0,NULL,NULL
BarryRi01 ,1973,Rick,Barry,west,N,1,19,8,NULL,NULL,4,3,NULL,NULL,NULL,NULL,6,3,2,2,NULL,NULL
BarryRi01 ,1972,Rick,Barry,west,N,1,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BarryRi01 ,1966,Rick,Barry,west,N,1,34,38,NULL,NULL,6,3,NULL,NULL,NULL,NULL,27,16,8,6,NULL,NULL
BarryRi01 ,1965,Rick,Barry,west,N,1,17,10,NULL,NULL,2,2,NULL,NULL,NULL,NULL,10,4,4,2,NULL,NULL
BarryRi01 ,1968,Rick,Barry,west,A,1,12,10,2,1,3,1,NULL,NULL,1,2,9,3,5,4,0,0
BarryRi01 ,1969,Rick,Barry,west,A,1,27,16,NULL,NULL,7,7,NULL,NULL,NULL,0,12,7,2,2,0,0
BarryRi01 ,1970,Rick,Barry,east,A,1,17,14,2,0,2,2,NULL,NULL,2,3,6,4,6,6,0,0
BarryRi01 ,1971,Rick,Barry,east,A,1,26,4,8,4,12,8,NULL,NULL,1,2,10,2,1,0,0,0
BayloEl01 ,1969,Elgin,Baylor,west,N,1,26,9,NULL,NULL,7,3,NULL,NULL,NULL,NULL,9,2,7,5,NULL,NULL
BayloEl01 ,1968,Elgin,Baylor,west,N,1,32,21,NULL,NULL,9,5,NULL,NULL,NULL,NULL,13,5,12,11,NULL,NULL
BayloEl01 ,1967,Elgin,Baylor,west,N,1,27,22,NULL,NULL,6,1,NULL,NULL,NULL,NULL,13,8,7,6,NULL,NULL
BayloEl01 ,1966,Elgin,Baylor,west,N,1,20,20,NULL,NULL,5,5,NULL,NULL,NULL,NULL,14,8,4,4,NULL,NULL
BayloEl01 ,1964,Elgin,Baylor,west,N,1,27,18,NULL,NULL,7,0,NULL,NULL,NULL,NULL,13,5,8,8,NULL,NULL
BayloEl01 ,1963,Elgin,Baylor,west,N,1,29,15,NULL,NULL,8,5,NULL,NULL,NULL,NULL,15,5,11,5,NULL,NULL
BayloEl01 ,1962,Elgin,Baylor,west,N,1,36,17,NULL,NULL,14,7,NULL,NULL,NULL,NULL,15,4,13,9,NULL,NULL
BayloEl01 ,1961,Elgin,Baylor,west,N,1,37,32,NULL,NULL,9,4,NULL,NULL,NULL,NULL,23,10,14,12,NULL,NULL
BayloEl01 ,1960,Elgin,Baylor,west,N,1,27,15,NULL,NULL,10,4,NULL,NULL,NULL,NULL,11,3,10,9,NULL,NULL
BayloEl01 ,1959,Elgin,Baylor,west,N,1,28,25,NULL,NULL,13,3,NULL,NULL,NULL,NULL,18,10,7,5,NULL,NULL
BayloEl01 ,1958,Elgin,Baylor,west,N,1,32,24,NULL,NULL,11,1,NULL,NULL,NULL,NULL,20,10,5,4,NULL,NULL
BeardBu01 ,1971,Butch,Beard,east,N,1,7,3,NULL,NULL,1,0,NULL,NULL,NULL,NULL,4,1,1,1,NULL,NULL
BeardRa01 ,1950,Ralph,Beard,west,N,1,0,6,NULL,NULL,3,2,NULL,NULL,NULL,NULL,8,3,3,0,NULL,NULL
BeaslJo01 ,1967,John,Beasley,west,A,1,24,9,3,1,4,0,NULL,NULL,0,5,9,4,1,1,0,0
BeaslJo01 ,1968,John,Beasley,west,A,1,29,19,9,5,14,2,NULL,NULL,2,5,12,8,3,3,0,0
BeaslJo01 ,1969,John,Beasley,west,A,1,18,11,NULL,NULL,8,0,NULL,NULL,NULL,5,7,5,0,0,1,1
BeattZe01 ,1967,Zelmo,Beatty,west,N,1,30,6,NULL,NULL,10,1,NULL,NULL,NULL,NULL,11,2,2,2,NULL,NULL
BeattZe01 ,1965,Zelmo,Beatty,west,N,1,24,10,NULL,NULL,18,1,NULL,NULL,NULL,NULL,11,0,13,10,NULL,NULL
BeatyZe01 ,1970,Zelmo,Beatty,west,A,1,27,12,6,2,8,3,NULL,NULL,4,4,11,5,3,2,0,0
BeatyZe01 ,1971,Zelmo,Beatty,west,A,1,27,15,4,3,7,0,NULL,NULL,4,4,11,7,1,1,0,0
BeatyZe01 ,1972,Zelmo,Beatty,west,A,1,15,6,4,0,4,1,1,2,1,1,6,3,0,0,0,0
BeckBy01  ,1968,Byron,Beck,west,A,1,27,14,7,3,10,1,NULL,NULL,1,3,13,7,0,0,0,0
BeckBy01  ,1975,Byron,Beck,Denver,A,1,20,14,NULL,NULL,4,0,NULL,NULL,NULL,3,11,6,2,2,0,0
BeckeAr01 ,1967,Arthur,Becker,west,A,1,19,11,2,3,5,0,NULL,NULL,2,1,13,5,1,1,0,0
BeckeAr01 ,1971,Arthur,Becker,west,A,1,9,0,0,0,0,1,NULL,NULL,1,0,2,0,0,0,0,0
BellaWa01 ,1964,Walt,Bellamy,west,N,1,17,12,NULL,NULL,5,1,NULL,NULL,NULL,NULL,5,4,4,4,NULL,NULL
BellaWa01 ,1963,Walt,Bellamy,west,N,1,23,11,NULL,NULL,7,0,NULL,NULL,NULL,NULL,11,4,5,3,NULL,NULL
BellaWa01 ,1962,Walt,Bellamy,west,N,1,14,2,NULL,NULL,1,2,NULL,NULL,NULL,NULL,4,1,2,0,NULL,NULL
BellaWa01 ,1961,Walt,Bellamy,west,N,1,29,23,NULL,NULL,17,1,NULL,NULL,NULL,NULL,18,10,8,3,NULL,NULL
BILLUCH01 ,2008,Chauncey,Billups,West,N,1,19,5,2,0,2,3,1,0,3,2,5,2,0,0,3,1
billuch01 ,2005,Chauncey,Billups,east,N,1,16,15,4,0,4,7,0,0,2,1,10,6,1,1,5,2
BilluCh01 ,2006,Chauncey,Billups,East,N,1,16,8,3,1,4,6,0,0,0,0,8,3,2,2,3,0
billuch01 ,2007,Chauncey,Billups,East,N,1,18,6,1,0,1,4,0,0,1,1,10,3,1,0,6,0
BingDa01  ,1974,Dave,Bing,west,N,1,12,2,NULL,NULL,0,1,NULL,NULL,NULL,NULL,2,0,2,2,NULL,NULL
BingDa01  ,1973,Dave,Bing,west,N,1,16,5,NULL,NULL,6,2,NULL,NULL,NULL,NULL,9,2,1,1,NULL,NULL
BingDa01  ,1972,Dave,Bing,west,N,1,19,2,NULL,NULL,3,0,NULL,NULL,NULL,NULL,4,0,2,2,NULL,NULL
BingDa01  ,1970,Dave,Bing,west,N,1,19,4,NULL,NULL,2,2,NULL,NULL,NULL,NULL,7,2,0,0,NULL,NULL
BingDa01  ,1968,Dave,Bing,east,N,1,13,3,NULL,NULL,0,3,NULL,NULL,NULL,NULL,3,1,1,1,NULL,NULL
BingDa01  ,1967,Dave,Bing,east,N,1,20,9,NULL,NULL,2,4,NULL,NULL,NULL,NULL,7,4,1,1,NULL,NULL
BingDa01  ,1975,Dave,Bing,east,N,1,26,16,NULL,NULL,3,4,NULL,NULL,NULL,NULL,11,7,2,2,NULL,NULL
BirdLa01  ,1991,Larry,Bird,east,N,1,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BirdLa01  ,1990,Larry,Bird,east,N,1,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BirdLa01  ,1989,Larry,Bird,east,N,1,23,8,NULL,NULL,8,3,NULL,NULL,NULL,NULL,8,3,2,2,NULL,NULL
BirdLa01  ,1987,Larry,Bird,east,N,1,32,6,NULL,NULL,7,1,NULL,NULL,NULL,NULL,8,2,2,2,NULL,NULL
BirdLa01  ,1986,Larry,Bird,east,N,1,35,18,NULL,NULL,6,5,NULL,NULL,NULL,NULL,18,7,4,4,NULL,NULL
BirdLa01  ,1985,Larry,Bird,east,N,1,35,23,NULL,NULL,8,5,NULL,NULL,NULL,NULL,18,8,6,5,NULL,NULL
BirdLa01  ,1984,Larry,Bird,east,N,1,31,21,NULL,NULL,8,2,NULL,NULL,NULL,NULL,16,8,6,5,NULL,NULL
BirdLa01  ,1983,Larry,Bird,east,N,1,33,16,NULL,NULL,7,3,NULL,NULL,NULL,NULL,18,6,4,4,NULL,NULL
BirdLa01  ,1982,Larry,Bird,east,N,1,29,14,NULL,NULL,13,7,NULL,NULL,NULL,NULL,14,7,0,0,NULL,NULL
BirdLa01  ,1980,Larry,Bird,east,N,1,18,2,NULL,NULL,4,3,NULL,NULL,NULL,NULL,5,1,0,0,NULL,NULL
BirdLa01  ,1979,Larry,Bird,east,N,1,23,7,NULL,NULL,6,7,NULL,NULL,NULL,NULL,6,3,0,0,NULL,NULL
BirdLa01  ,1981,Larry,Bird,East,N,1,28,19,12,0,12,5,1,1,4,3,12,7,8,5,0,0
BirdsOt01 ,1980,Otis,Birdsong,west,N,1,12,1,NULL,NULL,1,1,NULL,NULL,NULL,NULL,3,0,2,1,NULL,NULL
BirdsOt01 ,1979,Otis,Birdsong,west,N,1,14,2,NULL,NULL,0,0,NULL,NULL,NULL,NULL,2,1,0,0,NULL,NULL
BirdsOt01 ,1978,Otis,Birdsong,west,N,1,14,9,NULL,NULL,2,0,NULL,NULL,NULL,NULL,6,4,2,1,NULL,NULL
BirdsOt01 ,1983,Otis,Birdsong,east,N,1,12,2,NULL,NULL,3,1,NULL,NULL,NULL,NULL,5,1,0,0,NULL,NULL
BlackRo01 ,1989,Rolando,Blackman,west,N,1,21,15,NULL,NULL,2,2,NULL,NULL,NULL,NULL,9,7,1,1,NULL,NULL
BlackRo01 ,1986,Rolando,Blackman,west,N,1,22,29,NULL,NULL,4,1,NULL,NULL,NULL,NULL,15,9,13,11,NULL,NULL
BlackRo01 ,1985,Rolando,Blackman,west,N,1,22,12,NULL,NULL,4,8,NULL,NULL,NULL,NULL,11,6,0,0,NULL,NULL
BlackRo01 ,1984,Rolando,Blackman,west,N,1,23,15,NULL,NULL,3,2,NULL,NULL,NULL,NULL,14,7,2,1,NULL,NULL
BlaylMo01 ,1993,Mookie,Blaylock,east,N,1,16,5,NULL,NULL,1,2,NULL,NULL,NULL,NULL,5,2,0,0,NULL,NULL
BlockJo01 ,1972,John,Block,east,N,1,5,4,NULL,NULL,2,0,NULL,NULL,NULL,NULL,4,2,0,0,NULL,NULL
BooneRo01 ,1970,Ron,Boone,west,A,1,4,6,2,0,2,0,NULL,NULL,1,0,4,2,3,2,0,0
BooneRo01 ,1973,Ron,Boone,west,A,1,24,15,0,3,3,5,1,0,0,1,13,7,0,0,2,1
BooneRo01 ,1974,Ron,Boone,west,A,1,23,10,2,0,2,2,1,2,2,4,8,4,2,2,0,0
BooneRo01 ,1975,Ron,Boone,AllStars,A,1,16,10,NULL,NULL,3,2,NULL,NULL,NULL,1,11,5,0,0,0,0
BoozeBo01 ,1967,Bob,Boozer,west,N,1,19,4,NULL,NULL,5,0,NULL,NULL,NULL,NULL,5,2,0,0,NULL,NULL
boozeca01 ,2007,Carlos,Boozer,West,N,1,18,14,6,4,10,0,0,0,1,0,15,7,2,0,0,0
BorylVi01 ,1950,Vince,Boryla,east,N,1,0,9,NULL,NULL,2,2,NULL,NULL,NULL,NULL,6,4,1,1,NULL,NULL
boshch01  ,2007,Chris,Bosh,East,N,1,21,14,5,2,7,1,0,0,1,1,15,7,2,0,0,0
BoshCh01  ,2006,Chris,Bosh,East,N,1,22,11,4,3,7,1,0,0,0,0,7,5,1,1,0,0
boshch01  ,2005,Chris,Bosh,east,N,1,17,8,6,2,8,2,0,0,1,1,7,3,3,2,0,0
BradlBi01 ,1972,Bill,Bradley,east,N,1,12,4,NULL,NULL,1,0,NULL,NULL,NULL,NULL,5,2,0,0,NULL,NULL
BrandEl01 ,2001,Elton,Brand,west,N,1,19,6,5,5,10,1,0,1,2,2,5,3,0,0,0,0
brandel01 ,2005,Elton,Brand,west,N,1,17,12,4,3,7,0,1,0,3,2,11,6,0,0,0,0
BrandTe01 ,1996,Terrell,Brandon,east,N,1,17,10,2,1,3,8,2,0,0,2,11,4,0,0,4,2
BrandTe01 ,1995,Terrell,Brandon,east,N,1,20,11,NULL,NULL,1,3,NULL,NULL,NULL,NULL,10,4,2,2,NULL,NULL
BraunCa01 ,1956,Carl,Braun,east,N,1,24,10,NULL,NULL,3,2,NULL,NULL,NULL,NULL,9,4,2,2,NULL,NULL
BraunCa01 ,1955,Carl,Braun,east,N,1,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BraunCa01 ,1954,Carl,Braun,east,N,1,16,8,NULL,NULL,2,2,NULL,NULL,NULL,NULL,6,4,0,0,NULL,NULL
BraunCa01 ,1953,Carl,Braun,east,N,1,29,9,NULL,NULL,4,2,NULL,NULL,NULL,NULL,8,4,1,1,NULL,NULL
BraunCa01 ,1952,Carl,Braun,east,N,1,21,3,NULL,NULL,3,2,NULL,NULL,NULL,NULL,4,1,1,1,NULL,NULL
BrianFr01 ,1951,Frank,Brian,west,N,1,25,13,NULL,NULL,7,4,NULL,NULL,NULL,NULL,10,4,6,5,NULL,NULL
BrianFr01 ,1950,Frank,Brian,west,N,1,0,14,NULL,NULL,6,3,NULL,NULL,NULL,NULL,14,5,5,4,NULL,NULL
BridgBi01 ,1969,Bill,Bridges,west,N,1,15,5,NULL,NULL,4,2,NULL,NULL,NULL,NULL,2,2,5,1,NULL,NULL
BridgBi01 ,1967,Bill,Bridges,west,N,1,21,15,NULL,NULL,7,1,NULL,NULL,NULL,NULL,9,7,4,1,NULL,NULL
BridgBi01 ,1966,Bill,Bridges,west,N,1,17,8,NULL,NULL,3,3,NULL,NULL,NULL,NULL,5,4,2,0,NULL,NULL
BriskJo01 ,1970,John,Brisker,east,A,1,27,15,11,6,17,1,NULL,NULL,2,3,19,5,7,5,1,0
BriskJo01 ,1971,John,Brisker,east,A,1,21,8,2,3,5,3,NULL,NULL,1,1,10,3,3,2,1,0
BrownFr01 ,1975,Fred,Brown,west,N,1,24,14,NULL,NULL,0,1,NULL,NULL,NULL,NULL,13,7,0,0,NULL,NULL
BrownLa01 ,1967,Larry,Brown,west,A,1,22,17,3,0,3,5,NULL,NULL,4,2,9,7,1,1,2,2
BrownLa01 ,1968,Larry,Brown,west,A,1,25,5,0,0,0,7,NULL,NULL,7,2,7,1,5,3,1,0
BrownLa01 ,1969,Larry,Brown,west,A,1,15,3,NULL,NULL,3,3,NULL,NULL,NULL,1,2,0,3,3,0,0
BrownRo01 ,1967,Roger,Brown,east,A,1,27,12,2,2,4,2,NULL,NULL,3,3,15,5,2,2,1,0
BrownRo01 ,1969,Roger,Brown,east,A,1,28,15,NULL,NULL,6,2,NULL,NULL,NULL,4,10,5,6,5,0,0
BrownRo01 ,1970,Roger,Brown,west,A,1,28,12,2,1,3,3,NULL,NULL,4,4,11,3,8,6,2,0
BrownRo01 ,1971,Roger,Brown,west,A,1,25,4,5,1,6,2,NULL,NULL,2,3,7,2,1,0,2,0
BrownRo02 ,1975,Roger,Brown,Denver,A,1,9,4,NULL,NULL,3,3,NULL,NULL,NULL,1,2,2,0,0,0,0
BRYANKO01 ,2008,Kobe,Bryant,West,N,1,29,27,3,1,4,4,4,0,1,0,23,12,0,0,8,3
BryanKo01 ,2003,Kobe,Bryant,west,N,1,36,20,3,1,4,4,5,1,6,3,12,9,1,0,3,2
BryanKo01 ,2002,Kobe,Bryant,west,N,1,36,22,5,2,7,6,3,2,5,5,17,8,6,3,5,3
