,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Free Kick Accuracy,Overall,Position,Position class,ID,VersionID
7097,22,40,62,51,44,6,69,50,53,63,65,82,76,77,62,80,76,77,20,86,49,57,51,75,50,57,19,15,9,50,11,7,75,57,CB,Defense,45359,45359002
148236,58,58,74,72,66,54,53,69,67,63,64,49,73,75,79,45,78,84,71,74,71,51,68,56,72,72,63,12,6,14,14,14,70,72,CDM,Midfield,181483,181483013
92998,42,51,66,63,51,62,36,38,63,70,67,45,55,34,71,70,73,80,60,74,34,65,67,41,17,24,11,6,13,13,5,7,33,61,ST,Attack,152600,152600005
6099,33,21,59,41,14,21,13,33,50,64,63,59,58,64,28,66,60,61,24,48,56,51,38,54,58,62,13,7,21,33,21,21,19,59,CB,Defense,162053,162053002
220981,41,27,64,50,29,47,25,57,53,70,72,59,53,60,51,85,68,72,22,68,61,26,35,24,61,64,65,9,7,5,11,7,28,66,CB,Defense,192070,192070022
153361,50,25,42,63,31,60,52,61,61,82,74,78,62,70,25,81,70,62,37,66,59,45,49,30,66,69,66,5,9,11,15,15,55,63,RB,Defense,178544,178544018
165403,61,40,67,64,30,55,35,67,59,66,61,57,47,32,62,66,69,92,49,74,66,21,51,44,70,72,62,14,15,9,14,5,40,69,CB,Defense,199393,199393014
93942,53,41,43,55,35,56,45,55,42,74,77,74,64,62,32,55,43,70,53,67,34,42,53,44,57,62,61,7,6,9,11,15,32,61,RB,Defense,199300,199300005
82614,61,64,63,61,57,71,57,46,66,82,80,83,66,71,65,64,70,60,60,55,21,63,52,50,15,18,26,7,8,5,14,7,38,67,ST,Attack,198846,198846005
187366,71,83,68,69,79,88,73,71,87,87,85,89,81,89,81,65,68,49,82,53,28,80,62,70,21,28,23,6,9,11,7,5,79,81,ST,Attack,170369,170369033
183240,41,60,63,48,56,64,23,40,63,81,77,84,68,71,46,75,70,43,43,63,22,64,46,43,25,27,21,9,14,8,7,6,41,61,ST,Attack,170252,170252020
93101,73,72,80,85,73,75,72,79,84,64,66,64,79,67,77,74,70,74,74,65,70,70,77,75,65,75,54,9,10,14,9,5,70,77,CM,Midfield,46160,46160016
95618,61,49,49,66,54,71,54,57,67,84,80,88,64,85,64,80,70,58,60,27,38,60,55,64,30,40,33,12,10,9,8,12,41,66,RM,Midfield,187265,187265007
46175,56,40,61,64,67,50,43,24,49,55,55,56,51,54,45,58,63,60,31,68,24,61,68,40,45,64,65,7,22,24,22,22,53,58,CB,Defense,134749,134749003
46770,33,31,52,42,36,53,36,37,49,71,70,59,51,75,59,74,69,56,39,53,43,47,54,48,49,49,56,8,24,37,24,24,29,62,CB,Defense,198338,198338002
22556,56,75,85,65,61,55,54,47,64,83,86,75,52,78,76,90,67,60,58,53,58,55,68,75,34,24,74,9,24,47,24,24,54,70,ST,Attack,148410,148410002
204849,46,57,53,42,55,56,52,36,59,80,81,78,57,66,54,63,66,64,46,47,25,58,42,50,21,34,27,11,7,9,12,6,47,58,ST,Attack,203442,203442016
159883,50,66,62,60,68,64,66,50,68,68,70,72,64,71,70,81,68,77,66,60,30,66,60,68,28,38,34,12,10,6,14,8,68,66,ST,Attack,161995,161995017
928,57,68,73,61,59,64,60,64,68,69,68,83,66,69,67,64,67,70,68,53,39,66,61,53,36,36,26,14,12,64,22,22,53,68,ST,Attack,139228,139228001
37487,21,42,78,43,25,26,22,36,42,57,58,32,67,33,45,34,71,77,41,74,68,67,51,55,74,64,71,8,20,36,20,20,61,67,CB,Defense,15706,15706005
214657,42,59,36,80,38,72,70,75,71,67,66,68,59,71,70,63,70,63,64,47,50,65,76,50,48,56,42,7,10,5,6,9,69,69,CM,Midfield,199823,199823020
212384,61,82,75,72,80,69,72,70,76,76,77,79,75,80,82,79,75,71,74,83,52,84,73,68,52,54,44,7,10,10,7,10,71,72,LM,Midfield,177673,177673033
207641,61,41,60,65,53,56,72,61,60,64,65,61,62,70,55,63,72,70,42,74,62,59,31,56,63,64,62,8,8,15,8,13,68,63,LB,Defense,152887,152887020
122924,61,75,69,67,61,70,63,59,68,68,70,71,65,56,68,71,64,77,61,60,24,78,61,65,22,30,27,7,15,10,11,6,62,69,ST,Attack,156120,156120022
225719,43,37,74,60,22,47,47,64,58,56,55,49,66,54,30,83,61,79,31,76,75,24,31,51,77,79,76,12,13,11,10,11,52,74,CB,Defense,189067,189067023
162903,23,36,66,48,23,38,41,54,41,49,36,52,57,55,43,68,55,78,32,67,69,29,33,39,70,71,65,11,8,5,5,6,53,66,CB,Defense,138892,138892023
176655,63,51,37,54,49,61,60,58,59,80,73,79,61,73,62,67,62,56,58,41,30,58,53,71,26,22,29,11,11,9,15,8,70,62,LM,Midfield,204071,204071009
149061,47,34,58,55,34,45,51,46,56,51,53,41,61,34,52,70,70,79,37,74,62,51,50,47,66,64,63,6,7,9,8,12,44,65,CB,Defense,200067,200067008
72152,62,52,51,58,63,71,57,55,64,71,72,72,56,70,59,24,55,29,60,23,45,65,42,49,24,23,20,13,7,7,14,5,55,66,RM,Midfield,203903,203903002
60803,56,34,58,56,33,49,51,57,54,67,66,50,59,63,32,67,88,66,56,61,67,36,49,59,55,63,68,9,8,9,12,9,43,71,LB,Defense,152950,152950008
133940,46,58,62,53,40,48,56,40,55,69,72,66,63,58,50,73,84,74,54,71,35,61,37,54,38,35,29,9,14,6,7,15,43,57,ST,Attack,140424,140424011
65959,41,51,47,44,50,47,42,48,43,64,64,69,56,62,45,57,70,58,50,49,39,62,53,43,37,27,35,7,7,13,10,9,46,66,LB,Defense,201119,201119002
144740,62,61,64,47,55,62,45,38,61,70,72,72,65,64,55,69,82,76,60,49,42,62,57,62,39,25,25,8,9,7,12,6,66,60,LM,Midfield,152454,152454015
110721,48,83,78,67,75,71,59,38,77,79,79,79,76,75,73,81,69,75,51,60,31,83,54,78,20,25,25,15,15,10,13,5,47,77,ST,Attack,186961,186961010
34261,53,47,55,61,5,59,11,53,60,68,68,48,63,37,77,54,86,67,61,69,62,71,31,60,66,62,11,16,21,53,21,21,34,66,CDM,Midfield,164522,164522004
213488,58,37,72,74,43,56,49,65,68,52,66,59,69,53,58,78,80,85,59,79,69,49,53,47,66,68,70,7,11,6,12,15,45,70,CDM,Midfield,192673,192673015
154539,25,25,25,25,25,25,25,33,30,57,57,46,63,48,37,71,48,65,25,34,25,25,25,28,25,25,25,68,67,54,61,69,25,66,GK,Goalkeeper,152523,152523019
12121,56,72,46,73,54,62,62,76,80,63,65,64,69,71,63,60,69,76,52,79,75,77,71,75,67,61,71,14,20,76,20,20,61,73,CM,Midfield,51771,51771003
166756,57,44,66,67,25,58,52,62,64,51,52,56,66,63,46,69,73,72,44,71,67,51,63,45,65,66,62,8,5,14,15,12,49,66,CDM,Midfield,50908,50908020
173221,25,25,25,25,25,25,25,31,21,29,33,40,71,26,33,70,39,71,25,20,25,25,25,25,25,25,25,77,78,72,78,81,25,78,GK,Goalkeeper,137832,137832029
145373,50,58,83,85,57,64,43,84,76,60,63,57,82,44,53,74,70,84,42,69,89,50,73,69,89,90,87,10,11,14,15,8,43,86,CB,Defense,152729,152729018
211728,78,65,27,77,67,83,62,53,80,92,89,93,77,92,61,71,75,52,56,56,36,73,75,61,29,33,34,13,6,6,15,10,54,78,RM,Midfield,152747,152747031
83796,53,43,32,42,45,33,43,44,44,70,75,67,66,66,44,81,76,74,33,70,50,55,55,43,66,68,67,9,7,10,6,10,43,61,CB,Defense,202954,202954003
118489,49,19,60,42,24,51,15,30,49,75,80,40,57,49,44,81,81,89,14,69,53,30,38,44,48,70,62,8,15,11,12,14,21,59,RB,Defense,100905,100905010
203158,61,67,67,74,60,74,57,67,74,78,83,82,58,62,71,70,71,72,67,54,55,68,70,31,42,49,51,13,7,12,10,12,53,71,CAM,Midfield,202282,202282026
17843,46,21,62,44,46,21,52,44,49,61,37,44,51,61,40,71,67,68,45,79,67,62,60,52,68,68,49,6,21,44,21,21,62,64,CB,Defense,3765,3765002
17482,36,22,71,48,50,54,67,39,54,76,85,68,77,59,41,56,79,77,22,82,51,52,59,67,69,68,59,10,23,39,23,23,26,68,CB,Defense,175565,175565002
39522,42,52,76,36,65,43,41,38,41,59,61,68,64,60,33,79,71,80,28,74,75,81,61,66,73,75,64,8,22,38,22,22,42,72,CB,Defense,138532,138532007
164832,68,51,63,65,45,61,49,64,64,81,82,74,68,77,65,80,79,72,51,63,69,56,55,54,71,71,70,10,14,7,5,7,31,70,RB,Defense,187350,187350029
1115,71,41,61,62,42,62,65,56,58,64,62,71,68,83,63,52,75,59,43,73,51,30,69,63,78,76,73,11,9,56,14,13,63,65,CDM,Midfield,19260,19260001
26708,65,75,86,75,56,62,58,61,76,71,73,75,78,52,83,74,86,85,63,94,81,77,58,74,62,66,22,10,23,61,23,23,49,74,CF,Attack,13739,13739005
197020,63,77,84,79,82,71,65,70,78,74,67,67,79,62,81,82,86,74,81,65,62,83,76,73,49,59,54,9,10,13,15,9,68,77,CAM,Midfield,186452,186452023
114883,49,28,57,61,42,56,49,52,54,64,62,62,55,64,44,56,61,71,37,66,58,48,59,45,61,52,61,9,15,13,6,10,36,63,CB,Defense,205202,205202005
185125,66,40,57,65,41,66,53,62,65,67,71,60,65,74,48,70,74,61,39,70,61,46,48,25,67,70,68,13,5,15,11,14,24,66,LB,Defense,162980,162980023
13054,42,42,67,43,30,54,39,34,56,72,75,39,64,66,33,75,78,70,21,71,64,59,50,61,68,70,72,12,21,34,21,21,16,65,RB,Defense,23466,23466003
69,66,52,58,76,47,66,58,67,69,64,72,62,65,64,68,67,79,73,58,67,53,51,59,59,71,68,64,12,7,67,24,10,59,72,CM,Midfield,134744,134744001
125678,61,58,71,50,65,52,54,45,65,64,67,64,62,72,78,72,56,58,70,66,48,56,41,48,45,37,33,10,12,13,13,11,70,56,RM,Midfield,191728,191728008
161852,73,40,68,65,45,56,54,59,56,66,68,61,64,72,64,66,68,68,69,70,64,46,42,50,66,70,70,5,14,10,6,6,62,69,RB,Defense,184328,184328021
130349,45,48,64,63,44,52,46,59,61,60,68,63,67,57,68,72,80,74,49,74,68,49,60,51,56,60,55,11,15,5,7,14,48,65,CDM,Midfield,189727,189727013
155594,65,39,69,62,21,54,56,69,69,67,65,57,68,59,25,67,71,78,25,75,69,27,63,55,69,76,71,8,7,15,13,5,45,70,CB,Defense,184626,184626006
177329,25,25,25,33,25,25,25,36,25,60,58,66,74,66,38,65,33,66,25,41,25,25,25,25,25,25,25,64,66,70,64,72,25,64,GK,Goalkeeper,155808,155808018
31653,74,47,49,76,23,73,43,73,71,82,85,57,74,48,45,62,70,68,43,59,71,55,48,73,21,29,58,7,23,73,23,23,55,72,RM,Midfield,175567,175567006
216083,53,34,63,50,33,33,33,44,57,50,58,56,60,60,73,65,67,78,53,66,65,39,41,22,64,66,63,11,15,14,10,8,28,64,CB,Defense,202322,202322015
198906,60,30,57,60,28,50,37,55,60,67,68,68,64,51,53,70,70,88,38,66,60,26,50,39,58,62,61,10,15,10,12,11,37,62,RB,Defense,189052,189052011
3523,53,64,81,67,47,66,57,58,68,68,72,71,69,72,73,71,70,82,64,71,45,40,54,58,32,21,67,13,9,58,10,6,58,69,ST,Attack,150508,150508001
57441,65,60,47,67,64,61,54,66,65,72,71,64,62,71,79,72,77,61,65,63,47,66,60,53,45,42,40,13,15,7,9,10,70,65,CF,Attack,184333,184333005
90452,61,33,78,71,43,54,24,67,67,66,60,61,74,59,55,78,65,78,41,72,75,43,51,49,80,76,72,11,9,15,13,6,31,75,CB,Defense,170231,170231010
88474,11,11,12,33,19,19,15,31,25,67,66,75,49,30,38,75,56,52,16,35,20,12,29,21,14,18,19,62,59,64,62,69,13,67,GK,Goalkeeper,198009,198009006
170000,49,75,72,59,64,63,70,45,76,75,81,75,71,56,76,73,77,89,68,49,20,76,46,73,21,27,25,11,5,9,7,13,59,73,ST,Attack,197231,197231032
71239,72,58,69,76,68,76,60,75,76,84,82,72,77,78,86,72,85,80,79,82,73,68,77,63,73,74,74,7,5,13,12,9,65,75,CM,Midfield,186832,186832007
202022,31,24,62,42,30,32,21,26,44,54,54,53,47,59,33,74,74,77,30,58,57,27,24,36,59,61,58,14,12,6,9,6,26,59,CB,Defense,169896,169896014
210866,56,79,71,61,65,69,66,42,72,82,87,76,75,63,85,72,73,84,74,78,32,77,60,75,25,22,25,7,9,8,6,7,39,76,ST,Attack,199069,199069028
110770,23,16,55,18,23,23,18,19,46,34,34,53,56,65,32,70,71,71,24,62,56,35,45,22,57,57,56,6,5,8,6,6,26,57,CB,Defense,181738,181738009
213112,70,59,58,63,65,75,64,48,71,91,93,83,64,80,67,72,80,56,59,57,25,65,53,58,25,36,25,14,12,9,11,12,60,69,LM,Midfield,179891,179891020
37937,79,79,57,81,70,82,63,76,82,85,83,69,73,64,70,60,78,72,73,73,70,70,74,74,24,42,67,6,22,76,22,22,73,76,CAM,Midfield,137242,137242007
12168,67,67,65,71,19,60,66,76,70,71,75,71,78,72,76,90,85,83,68,79,81,83,50,80,85,75,64,16,21,76,21,21,67,73,CDM,Midfield,2819,2819003
128198,48,51,86,68,57,63,60,55,72,66,68,57,68,31,76,60,68,81,56,82,84,27,57,67,84,84,82,5,14,8,13,14,62,80,CB,Defense,188105,188105018
205858,73,30,55,64,31,62,52,56,57,75,77,60,73,53,57,81,78,80,32,72,77,61,56,42,70,75,67,10,5,9,11,15,45,70,LB,Defense,176377,176377013
178039,67,72,42,60,50,82,52,53,81,85,85,84,70,79,67,50,78,65,59,61,22,71,59,65,26,29,38,14,9,14,10,9,50,72,LM,Midfield,198717,198717021
219948,85,63,73,85,65,81,78,79,84,86,86,86,84,77,82,78,88,65,78,69,84,76,77,74,79,82,79,5,7,14,15,9,83,85,LB,Defense,197445,197445031
60691,20,18,22,25,24,24,23,72,13,52,58,63,54,25,14,62,26,62,10,58,22,13,21,13,10,18,18,61,42,72,39,64,22,51,GK,Goalkeeper,182206,182206005
108511,66,49,59,72,57,68,62,64,71,63,56,72,64,81,67,58,68,60,66,51,51,56,72,76,36,48,46,8,8,11,6,12,65,65,CM,Midfield,104296,104296012
219113,72,61,54,71,53,74,71,59,69,67,78,73,70,69,61,63,65,67,53,64,67,64,66,47,57,61,59,6,13,5,11,8,51,69,LB,Defense,158132,158132027
117915,85,68,70,74,79,82,76,58,83,83,87,77,73,62,87,68,65,78,77,71,34,74,67,66,14,34,29,13,14,9,9,14,74,77,RM,Midfield,184200,184200014
113279,62,40,50,75,56,73,54,74,65,69,63,69,66,77,88,75,79,91,68,91,76,62,58,54,72,84,76,9,8,12,7,14,54,75,CDM,Midfield,45618,45618017
4990,49,37,62,56,25,46,25,51,67,66,66,54,63,59,54,73,80,75,22,69,21,25,25,62,61,60,25,5,8,51,11,7,62,65,CB,Defense,156164,156164001
206581,25,25,25,23,25,25,25,24,20,48,55,36,62,56,29,64,53,74,25,31,25,25,28,21,25,25,25,66,64,67,65,71,25,66,GK,Goalkeeper,147584,147584007
35521,23,23,23,29,65,23,74,71,26,70,70,68,75,55,31,71,58,65,23,61,70,76,71,70,23,23,52,70,69,71,67,72,11,69,GK,Goalkeeper,142959,142959005
215524,25,25,25,29,25,25,25,33,24,40,52,35,72,45,43,59,31,76,25,33,23,25,25,25,25,25,25,71,69,70,64,76,25,70,GK,Goalkeeper,104389,104389027
227665,68,73,60,68,69,73,59,55,73,88,88,84,73,78,70,70,67,53,65,44,31,73,59,72,16,22,20,9,10,16,14,16,48,72,RM,Midfield,144368,144368016
132167,50,53,37,61,50,62,44,59,63,67,70,55,67,78,54,70,67,80,52,50,61,56,61,50,42,64,46,10,7,14,12,11,43,59,CM,Midfield,116081,116081007
139678,57,63,58,52,86,57,60,30,60,65,69,59,62,71,69,82,53,76,72,46,24,73,58,63,23,26,25,13,14,13,12,11,42,66,ST,Attack,183113,183113022
229107,52,64,65,55,59,65,40,35,66,62,74,68,66,50,64,83,71,77,58,53,16,62,50,62,16,12,15,10,7,15,6,10,57,65,ST,Attack,177653,177653018
117365,69,81,77,70,68,70,48,67,72,69,71,67,73,64,74,72,77,74,70,69,42,80,67,72,20,23,21,8,15,12,10,8,58,76,ST,Attack,125995,125995016
119060,63,21,62,56,23,32,34,61,50,53,61,55,56,56,68,72,75,82,66,72,60,31,55,29,64,65,66,11,6,12,9,15,35,63,RB,Defense,192279,192279005
216012,49,54,40,67,59,62,61,63,66,65,53,71,72,70,67,64,78,66,67,88,57,69,73,58,40,52,40,15,13,6,9,5,64,66,CM,Midfield,53502,53502026
98648,62,61,56,59,50,58,61,61,64,82,73,80,71,48,54,58,78,74,53,57,30,60,60,64,26,30,16,7,8,11,13,5,48,72,LW,Attack,189157,189157010
144133,35,24,63,47,41,45,27,45,55,55,64,65,61,51,50,73,63,77,39,71,67,25,45,33,72,72,68,8,12,15,12,13,35,69,CB,Defense,199517,199517010
216991,61,66,68,66,66,64,67,46,67,69,69,68,67,66,68,80,73,65,64,70,44,68,61,71,22,34,33,7,12,5,8,8,60,67,ST,Attack,149667,149667039
216966,45,56,56,50,69,55,47,39,63,71,65,70,50,70,77,80,67,66,53,49,48,54,51,56,28,32,25,14,14,9,15,6,46,60,ST,Attack,192093,192093007
24827,20,42,44,20,32,50,38,20,37,40,50,81,45,84,46,78,27,35,52,33,31,29,69,27,20,20,70,7,20,20,20,20,37,54,ST,Attack,179860,179860003
17474,72,92,90,81,58,79,68,61,87,79,78,68,87,68,85,68,72,85,77,73,78,85,61,90,22,24,74,7,22,61,22,22,80,86,ST,Attack,30110,30110004
66683,52,49,62,57,39,55,52,56,52,56,58,55,52,48,56,61,62,45,55,46,23,22,52,40,20,32,36,11,15,13,11,10,56,51,CM,Midfield,198467,198467004
74151,61,66,67,61,55,57,47,62,59,72,70,79,62,71,45,75,55,72,61,61,55,56,56,47,58,56,52,9,13,9,11,11,44,61,RM,Midfield,187450,187450004
186973,61,59,38,66,60,73,68,62,68,68,64,75,64,71,67,73,62,60,63,38,38,64,64,65,32,30,35,15,11,10,13,13,64,66,CAM,Midfield,193517,193517007
208372,25,25,25,31,25,25,25,33,22,47,42,56,53,50,25,58,25,65,25,31,26,25,25,40,25,25,25,57,58,59,55,61,25,58,GK,Goalkeeper,190179,190179020
1543,74,62,53,72,47,66,66,62,68,64,62,72,68,80,54,61,69,57,62,48,67,51,70,74,48,48,65,6,5,62,11,7,74,67,CAM,Midfield,53502,53502001
220969,50,76,66,64,70,64,49,58,71,75,73,74,69,65,73,69,60,67,69,53,31,73,60,71,24,25,25,8,9,5,13,6,48,72,ST,Attack,193226,193226025
89184,30,77,63,51,65,68,50,39,69,77,78,67,66,48,75,72,63,76,64,38,23,51,36,42,15,18,17,5,8,12,7,8,53,67,ST,Attack,190451,190451008
26241,56,42,60,61,69,53,63,56,58,68,67,60,63,51,65,82,72,73,43,74,51,52,72,62,62,64,38,12,20,56,20,20,51,62,CDM,Midfield,49676,49676003
163590,55,68,65,60,55,65,48,49,65,69,77,77,64,72,63,73,72,70,65,44,42,66,58,65,29,37,35,5,10,9,9,14,40,66,ST,Attack,193798,193798015
217574,43,29,70,63,25,46,33,61,59,59,62,66,68,61,35,81,64,68,30,66,69,26,48,41,69,71,72,5,8,11,6,11,34,68,CB,Defense,205588,205588022
